override_p2,logical_error_rate,distance,shots,errors
0.01,0.00017310344827586207,7,5800000,1004
0.009,0.00011709302325581395,7,8600000,1007
0.008,7.492537313432836e-05,7,13400000,1004
0.007,5.01e-05,7,20000000,1002
0.006,2.7960893854748604e-05,7,35800000,1001
0.005,1.5955414012738855e-05,7,62800000,1002
0.003,3.82e-06,7,100000000,382
0.004,8.08e-06,7,100000000,808
0.002,1.28e-06,7,100000000,128
0.001,3.2e-07,7,100000000,32
