override_p2,logical_error_rate,distance,shots,errors
0.01,0.0005468421052631579,5,1900000,1039
0.009,0.00039461538461538464,5,2600000,1026
0.008,0.0003293548387096774,5,3100000,1021
0.007,0.0002208695652173913,5,4600000,1016
0.006,0.0001617741935483871,5,6200000,1003
0.005,9.930693069306931e-05,5,10100000,1003
0.004,6.109756097560976e-05,5,16400000,1002
0.003,3.544169611307421e-05,5,28300000,1003
0.002,1.7094017094017095e-05,5,58500000,1000
0.001,8.98e-06,5,100000000,898
