xmerge_d7_bell
0.001,1.8e-07
0.002,1.9e-07
0.003,2.4e-07
0.004,2.8e-07
0.005,4.1e-07
0.006,6.3e-07
0.007,7.1e-07
0.008,1.06e-06
0.009,1.27e-06
0.01,1.59e-06

xmerge_d7_interleaving
0.001,3.2e-07
0.002,1.28e-06
0.003,3.82e-06
0.004,8.08e-06
0.005,1.5955414012738855e-05
0.006,2.7960893854748604e-05
0.007,5.01e-05
0.008,7.492537313432836e-05
0.009,0.00011709302325581395
0.01,0.00017310344827586207

xmerge_d7_alternating
0.001,4.44e-06
0.002,4.54e-06
0.003,4.85e-06
0.004,5.71e-06
0.005,6.13e-06
0.006,7.72e-06
0.007,9.76e-06
0.008,1.3472409152086137e-05
0.009,1.753064798598949e-05
0.01,2.3011494252873563e-05

