override_p2,logical_error_rate,distance,shots,errors
0.01,4.577272727272727e-05,4,22000000,1007
0.009,3.842911877394636e-05,4,26100000,1003
0.008,3.3885135135135136e-05,4,29600000,1003
0.007,2.7424657534246574e-05,4,36500000,1001
0.006,2.4987531172069826e-05,4,40100000,1002
0.005,2.0596707818930042e-05,4,48600000,1001
0.004,1.6891891891891892e-05,4,59200000,1000
0.003,1.3717421124828532e-05,4,72900000,1000
0.002,1.1490825688073395e-05,4,87200000,1002
0.001,9.78e-06,4,100000000,978
