override_p2,logical_error_rate,distance,shots,errors
0.006,0.03133,1,100000,3133
0.005,0.02856,1,100000,2856
0.007,0.03542,1,100000,3542
0.004,0.02566,1,100000,2566
0.009,0.04322,1,100000,4322
0.01,0.0471,1,100000,4710
0.008,0.03946,1,100000,3946
0.003,0.0222,1,100000,2220
0.002,0.01875,1,100000,1875
0.001,0.01548,1,100000,1548
