override_p2,logical_error_rate,distance,shots,errors
0.01,0.0016716666666666666,3,600000,1003
0.009,0.0015828571428571428,3,700000,1108
0.008,0.0014714285714285714,3,700000,1030
0.007,0.001365,3,800000,1092
0.006,0.001017,3,1000000,1017
0.005,0.0009427272727272727,3,1100000,1037
0.004,0.0008608333333333334,3,1200000,1033
0.003,0.0007628571428571428,3,1400000,1068
0.002,0.0005331578947368422,3,1900000,1013
0.001,0.00042083333333333333,3,2400000,1010
