override_p2,logical_error_rate,distance,shots,errors
0.009,0.01302,2,100000,1302
0.01,0.01367,2,100000,1367
0.005,0.01218,2,100000,1218
0.007,0.0123,2,100000,1230
0.008,0.01285,2,100000,1285
0.004,0.01151,2,100000,1151
0.006,0.01217,2,100000,1217
0.003,0.01164,2,100000,1164
0.002,0.0119,2,100000,1190
0.001,0.011,2,100000,1100
