override_p2,logical_error_rate,distance,shots,errors
0.01,0.00028555555555555555,3,3600000,1028
0.009,0.00022844444444444445,3,4500000,1028
0.008,0.0002004,3,5000000,1002
0.007,0.0001659016393442623,3,6100000,1012
0.006,0.0001325,3,7600000,1007
0.005,0.00011517241379310345,3,8700000,1002
0.004,9.036036036036036e-05,3,11100000,1003
0.003,8.581196581196581e-05,3,11700000,1004
0.002,8.088709677419354e-05,3,12400000,1003
0.001,7.407407407407407e-05,3,13500000,1000
