override_p2,logical_error_rate,distance,shots,errors
0.003,2.4e-07,6,100000000,24
0.004,2.8e-07,6,100000000,28
0.006,6.3e-07,6,100000000,63
0.007,7.1e-07,6,100000000,71
0.005,4.1e-07,6,100000000,41
0.008,1.06e-06,6,100000000,106
0.009,1.27e-06,6,100000000,127
0.01,1.59e-06,6,100000000,159
0.002,1.9e-07,6,100000000,19
0.001,1.8e-07,6,100000000,18
