override_p2,logical_error_rate,distance,shots
0.01,0.001449,3,1000000
0.009,0.001469,3,1000000
0.008,0.00137,3,1000000
0.007,0.001183,3,1000000
0.006,0.000951,3,1000000
0.005,0.000854,3,1000000
0.004,0.000806,3,1000000
0.003,0.000739,3,1000000
0.002,0.000479,3,1000000
0.001,0.000418,3,1000000
