pauliXX_d9_bell
0.001,0.0
0.002,0.0
0.003,2e-08
0.004,3e-08
0.005,2e-08
0.006,2e-08
0.007,0.0
0.008,1e-08
0.009,1e-08
0.01,2e-08

pauliXX_d9_interleaving
0.001,3e-08
0.002,1e-07
0.003,2.5e-07
0.004,7.3e-07
0.005,1.49e-06
0.006,3.17e-06
0.007,6.06e-06
0.008,1.0694444444444444e-05
0.009,1.7889087656529517e-05
0.01,2.8901734104046242e-05

pauliXX_d9_alternating
0.001,3e-08
0.002,6e-08
0.003,1.5e-07
0.004,4e-07
0.005,8.9e-07
0.006,1.43e-06
0.007,3.27e-06
0.008,5.08e-06
0.009,8.45e-06
0.01,1.1438356164383562e-05

