override_p2,logical_error_rate,distance,shots
0.01,0.000109,6,1000000
0.009,8.1e-05,6,1000000
0.008,6.2e-05,6,1000000
0.007,3.5e-05,6,1000000
0.006,2.7e-05,6,1000000
0.005,9e-06,6,1000000
0.004,4e-06,6,1000000
0.003,3e-06,6,1000000
0.002,3e-06,6,1000000
0.001,2e-06,6,1000000
