override_p2,logical_error_rate,distance,shots
0.01,1.5e-05,4,1000000
0.009,1.3e-05,4,1000000
0.008,1.7e-05,4,1000000
0.007,1.3e-05,4,1000000
0.006,7e-06,4,1000000
0.005,1.3e-05,4,1000000
0.004,1.5e-05,4,1000000
0.003,1.1e-05,4,1000000
0.002,1e-05,4,1000000
0.001,1e-05,4,1000000
