override_p2,logical_error_rate,distance,shots
0.01,0.0,8,1000000
0.009,0.0,8,1000000
0.008,0.0,8,1000000
0.007,0.0,8,1000000
0.006,0.0,8,1000000
0.005,0.0,8,1000000
0.004,0.0,8,1000000
0.003,0.0,8,1000000
0.002,0.0,8,1000000
0.001,0.0,8,1000000
