override_p2,logical_error_rate,distance,shots
0.01,0.001184,4,1000000
0.009,0.000873,4,1000000
0.008,0.0007,4,1000000
0.007,0.000592,4,1000000
0.006,0.000401,4,1000000
0.005,0.000292,4,1000000
0.004,0.000205,4,1000000
0.003,0.000158,4,1000000
0.002,0.000101,4,1000000
0.001,5.4e-05,4,1000000
