override_p2,logical_error_rate,distance,shots,errors
0.003,4.4e-07,6,100000000,44
0.004,4.7e-07,6,100000000,47
0.005,4.3e-07,6,100000000,43
0.006,5.2e-07,6,100000000,52
0.007,8e-07,6,100000000,80
0.008,8.3e-07,6,100000000,83
0.009,1.13e-06,6,100000000,113
0.01,1.73e-06,6,100000000,173
0.002,2.7e-07,6,100000000,27
0.001,3.3e-07,6,100000000,33
