override_p2,logical_error_rate,distance,shots,errors
0.01,0.00010381443298969072,6,9700000,1007
0.009,8.19672131147541e-05,6,12200000,1000
0.008,5.4216216216216213e-05,6,18500000,1003
0.007,3.9215686274509805e-05,6,25500000,1000
0.006,2.5201005025125628e-05,6,39800000,1003
0.005,1.6716666666666665e-05,6,60000000,1003
0.003,4.69e-06,6,100000000,469
0.004,8.61e-06,6,100000000,861
0.002,2.33e-06,6,100000000,233
0.001,1.15e-06,6,100000000,115
