override_p2,logical_error_rate,distance,shots
0.01,0.000166,7,1000000
0.009,0.000125,7,1000000
0.008,8.3e-05,7,1000000
0.007,5.7e-05,7,1000000
0.006,2.2e-05,7,1000000
0.005,1.4e-05,7,1000000
0.004,8e-06,7,1000000
0.003,3e-06,7,1000000
0.002,2e-06,7,1000000
0.001,0.0,7,1000000
