pauliXX_d5_bell
0.001,1e-05
0.002,1e-05
0.003,1.1e-05
0.004,1.5e-05
0.005,1.3e-05
0.006,7e-06
0.007,1.3e-05
0.008,1.7e-05
0.009,1.3e-05
0.01,1.5e-05

pauliXX_d5_interleaving
0.001,1.3e-05
0.002,4.6e-05
0.003,4.7e-05
0.004,0.000128
0.005,0.000195
0.006,0.000304
0.007,0.000398
0.008,0.000537
0.009,0.000711
0.01,0.000955

pauliXX_d5_alternating
0.001,5.4e-05
0.002,0.000101
0.003,0.000158
0.004,0.000205
0.005,0.000292
0.006,0.000401
0.007,0.000592
0.008,0.0007
0.009,0.000873
0.01,0.001184

