pauliXX_d7_bell_108
0.001,3.3e-07
0.002,2.7e-07
0.003,4.4e-07
0.004,4.7e-07
0.005,4.3e-07
0.006,5.2e-07
0.007,8e-07
0.008,8.3e-07
0.009,1.13e-06
0.01,1.73e-06

pauliXX_d7_interleaving_108
0.001,4.7e-07
0.002,1.39e-06
0.003,3.37e-06
0.004,7.76e-06
0.005,1.5423728813559323e-05
0.006,2.970326409495549e-05
0.007,5.196891191709845e-05
0.008,7.881889763779527e-05
0.009,0.00011928571428571428
0.01,0.00016129032258064516

pauliXX_d9_alternating_108
0.001,1.15e-06
0.002,2.33e-06
0.003,4.69e-06
0.004,8.61e-06
0.005,1.6716666666666665e-05
0.006,2.5201005025125628e-05
0.007,3.9215686274509805e-05
0.008,5.4216216216216213e-05
0.009,8.19672131147541e-05
0.01,0.00010381443298969072

