override_p2,logical_error_rate,distance,shots,errors
0.01,2.8901734104046242e-05,9,34600000,1000
0.009,1.7889087656529517e-05,9,55900000,1000
0.008,1.0694444444444444e-05,9,93600000,1001
0.003,2.5e-07,9,100000000,25
0.004,7.3e-07,9,100000000,73
0.005,1.49e-06,9,100000000,149
0.006,3.17e-06,9,100000000,317
0.007,6.06e-06,9,100000000,606
0.002,1e-07,9,100000000,10
0.001,3e-08,9,100000000,3
