override_p2,logical_error_rate,distance,shots,errors
0.003,2e-08,8,100000000,2
0.004,3e-08,8,100000000,3
0.005,2e-08,8,100000000,2
0.006,2e-08,8,100000000,2
0.007,0.0,8,100000000,0
0.008,1e-08,8,100000000,1
0.009,1e-08,8,100000000,1
0.01,2e-08,8,100000000,2
0.002,0.0,8,100000000,0
0.001,0.0,8,100000000,0
