override_p2,logical_error_rate,distance,shots,errors
0.01,0.00016129032258064516,7,6200000,1000
0.009,0.00011928571428571428,7,8400000,1002
0.008,7.881889763779527e-05,7,12700000,1001
0.007,5.196891191709845e-05,7,19300000,1003
