override_p2,logical_error_rate,distance,shots
0.01,0.000955,5,1000000
0.009,0.000711,5,1000000
0.008,0.000537,5,1000000
0.007,0.000398,5,1000000
0.006,0.000304,5,1000000
0.005,0.000195,5,1000000
0.004,0.000128,5,1000000
0.003,4.7e-05,5,1000000
0.002,4.6e-05,5,1000000
0.001,1.3e-05,5,1000000
