override_p2,logical_error_rate,distance,shots
0.01,0.031728,2,1000000
0.009,0.028964,2,1000000
0.008,0.026284,2,1000000
0.007,0.023327,2,1000000
0.006,0.020837,2,1000000
0.005,0.018144,2,1000000
0.004,0.015362,2,1000000
0.003,0.012638,2,1000000
0.002,0.010132,2,1000000
0.001,0.007284,2,1000000
