override_p2,logical_error_rate,distance,shots
0.01,2.2e-05,9,1000000
0.009,1.8e-05,9,1000000
0.008,3e-06,9,1000000
0.007,4e-06,9,1000000
0.006,1e-06,9,1000000
0.005,1e-06,9,1000000
0.004,0.0,9,1000000
0.003,0.0,9,1000000
0.002,0.0,9,1000000
0.001,0.0,9,1000000
